RANK, LAST NAME, FIRST NAME, GENDER
1342, AYERS, LEA, female
1343, SYKES, RENA, female
1344, AKERS, LENA, female
1345, LAKE, RENE, male
1347, BYRNE, LEE, male
1348, BANKS, ASA, male
1348, SEARS, RENA, female
1350, LANE, REY, male
1351, AYERS, RENE, female
1351, REESE, ALBA, female
1352, LARA, RENE, female
1355, REESE, PANSY, female
1356, BAKER, PERLA, female
1356, LE, KARA, female
1356, PARK, LES, male
1359, LANE, KASEY, male
1363, BARR, LEA, female
1364, BYERS, ELENA, female
1367, AYALA, ABE, male
1370, SYKES, REBA, female
1372, AYERS, LARA, female
1372, LEE, RAY, female
1375, BLAKE, REYNA, female
1375, SEARS, REBA, female
1377, BASS, KARYN, female
1378, BEAN, LEA, female
1380, AKERS, RENE, male
1380, BLAKE, REYES, male
1381, NEAL, BESS, female
1381, PARKS, ARLEEN, female
1382, BRYAN, LES, male
1382, KESSLER, ANA, female
1382, SPEARS, LEA, female
1383, BANKS, REY, male
1383, LARA, BARNEY, male
1385, BAKER, RAY, female
1385, BASS, ERNA, female
1386, BLAKE, PANSY, female
1386, KERR, LEA, female
1387, BYERS, AL, male
1390, PARK, ERNA, female
1391, AYALA, PARKER, male
1391, SPEARS, RENE, female
1393, SPARKS, ERNA, female
1395, REYNA, LEE, female
1396, REYNA, BLAKE, male
1398, BARNES, PERLA, female
